0 0.0248762 0.0150527 0.0147681 0.00528838 0.0051244 0.00875459 0.0160197 0.00874665 0.00505453 0.0198852 0.0247142 0.0242278 0.0247269 0.00674367 0.0176657 0.00755603 0.0249921 0.0240366 0.011572 0.00935413
0.01 0.0248762 0.0150527 0.014844 0.00525023 0.0051244 0.00875459 0.0160197 0.00885027 0.00500206 0.0198739 0.0247247 0.0242278 0.0247269 0.00674964 0.0176657 0.00758086 0.0249921 0.0240366 0.0115845 0.00935413
0.02 0.0249952 0.0150028 0.0153084 0.00500222 0.00501412 0.00905673 0.0161793 0.00904706 0.00500329 0.0195097 0.0248901 0.0242278 0.0249993 0.00690067 0.0176932 0.00788208 0.0248858 0.0240366 0.0118817 0.00935413
0.03 0.0249792 0.0151064 0.0150473 0.00503914 0.00504135 0.00945982 0.0158301 0.00880157 0.0050022 0.0196222 0.0249359 0.0240805 0.0248159 0.00720238 0.0176134 0.00869498 0.0249241 0.0238648 0.0127615 0.00935413
0.04 0.0249922 0.0150812 0.0150219 0.00501982 0.00501501 0.00962105 0.0155677 0.00847278 0.00500606 0.0197136 0.0249469 0.0239111 0.0248142 0.00763655 0.017423 0.00982134 0.0249551 0.0236296 0.0134716 0.00935413
0.05 0.0248892 0.0151602 0.0151271 0.00501076 0.00500631 0.00975222 0.015284 0.00828801 0.00500349 0.019768 0.024977 0.0237807 0.0249543 0.00820862 0.0173178 0.0111598 0.0247307 0.0232171 0.013249 0.00935413
0.06 0.0248319 0.0150814 0.0154942 0.00503568 0.00500388 0.00998638 0.0152205 0.0082389 0.00500951 0.0199883 0.0249951 0.02367 0.0249984 0.00875608 0.0175595 0.0125483 0.0249821 0.022641 0.0131512 0.00935413
0.07 0.0247932 0.0152266 0.0156393 0.0050039 0.00500358 0.0100306 0.0150401 0.00804115 0.00500157 0.0200222 0.0250003 0.0235838 0.0249987 0.00854245 0.0179866 0.0140638 0.0249809 0.0221949 0.0128716 0.00935413
0.08 0.0247545 0.0152264 0.0157335 0.00500073 0.00500547 0.00996849 0.0147323 0.00787712 0.00500286 0.0199681 0.0250009 0.0235853 0.0249895 0.00778503 0.0181013 0.0147864 0.0249804 0.0221989 0.0127357 0.00935413
0.09 0.0247379 0.0152276 0.0157668 0.00500438 0.00506441 0.0100473 0.0143207 0.00782406 0.00510255 0.0200427 0.0249998 0.023674 0.025 0.0067255 0.018245 0.0149798 0.0250002 0.0223141 0.0126355 0.00935413
0.1 0.0247274 0.0152278 0.0157775 0.00501327 0.00499972 0.0100354 0.0142881 0.00785857 0.00500069 0.0200337 0.0249999 0.0236928 0.025 0.00533664 0.018534 0.0151733 0.0249907 0.0222129 0.012296 0.00935413
0.11 0.024829 0.0152278 0.0157893 0.00505291 0.00500044 0.00999798 0.0144887 0.00787383 0.00499961 0.0199975 0.0249973 0.0237002 0.0249997 0.00545032 0.0191865 0.0146324 0.0250002 0.0222285 0.0125692 0.00935413
0.12 0.0249787 0.0152309 0.0156609 0.00500181 0.00500063 0.00994986 0.0146638 0.00774651 0.00499995 0.0199496 0.025 0.0236977 0.0249183 0.00503238 0.019417 0.0146441 0.0249943 0.0224768 0.0126494 0.00935413
0.13 0.0249547 0.0152066 0.0157816 0.0050163 0.00499979 0.00987744 0.014888 0.00771663 0.0050044 0.0198776 0.0249998 0.0237373 0.0249872 0.00514159 0.0196168 0.0149842 0.0249975 0.0224323 0.012642 0.00935413
0.14 0.02499 0.0150781 0.0157813 0.00505863 0.00500003 0.00983584 0.0148743 0.00779727 0.00502198 0.0198344 0.0250002 0.0237614 0.025 0.00500496 0.0197381 0.0150483 0.025 0.0221409 0.01267 0.00935413
0.15 0.0249959 0.0149594 0.0157989 0.00500343 0.00500076 0.00977197 0.014857 0.00781907 0.0050449 0.0197691 0.0250002 0.0237781 0.025 0.00500185 0.0197288 0.0149998 0.025 0.0218585 0.0126618 0.00935413
0.16 0.025 0.014859 0.0158068 0.00501835 0.00499996 0.00972627 0.0148433 0.00782379 0.00499992 0.0197211 0.025 0.0237899 0.025 0.00499994 0.0197097 0.0150013 0.025 0.0218116 0.012651 0.00935413
0.17 0.025 0.0148507 0.0158102 0.00505257 0.00499995 0.00972151 0.0148577 0.0078291 0.00500273 0.0197161 0.025 0.0237913 0.025 0.00499995 0.0197167 0.0150022 0.025 0.0217964 0.0126407 0.00935413
