0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.01 0 0 0.059985 -0.0390679 0 0 0 0.024507 0.0123041 -0.0531184 0.0493768 0 0 0.0107334 0 0.0109187 0 0 0.0282502 0
0.02 0.0543958 0.0101752 -0.0899181 -0.0387392 0.0511457 0.0813532 -0.0755478 -0.0166608 -0.00455952 -0.0139368 -0.024385 0 0.0585473 0.0243254 -0.0212087 0.0627857 -0.010161 0 0.0729613 0
0.03 -0.00163029 -0.0282206 0.003707 -0.00775117 -0.0022359 -0.00468772 0.00587352 -0.00440243 0.00967024 -0.00151098 0.0587123 -0.0205592 -0.0276417 0.0404926 -0.00460879 0.0964524 -0.0650132 -0.0235147 0.0902644 0
0.04 -0.0118714 0.0141464 0.00630813 0.00654691 -0.0204668 0.0321125 -0.015767 -0.0335297 0.0196084 0.00173646 0.0227523 -0.0131507 0.00469633 0.0517314 0.109586 0.128533 0.00848498 -0.0235147 -0.0124416 0
0.05 -0.0196718 -0.00817172 0.0110213 0.0262095 0.0124567 0.0247492 -0.0124208 -0.00504878 0.00588843 0.0291743 0.0211751 -0.0104456 0.019429 0.0635014 -0.00920008 0.137444 0.0142523 -0.0503612 -0.00357214 0
0.06 -0.0038691 -0.00719317 0.0474664 0.000406965 -0.0155743 0.0110237 -0.00298661 -0.00399933 -0.000309691 0.0104349 0.0254332 -0.0093711 0.0587759 0.0230813 0.0508102 0.143234 0.00688311 -0.0715514 -0.0235936 0
0.07 -0.0038691 0.0402732 -0.00404838 -0.00176584 0.00207738 0.00427191 -0.0261102 -0.012429 0.0027897 0.00287378 -0.00361568 -0.00698415 -0.000844024 -0.0614178 0.00580388 0.155741 0.00315246 -0.00564581 -0.0166704 0
0.08 -0.0038691 0.00358796 0.00222476 -0.000884593 -0.000827775 -0.011227 -0.0377219 -0.0162413 -0.000781589 -0.0206662 0.00249552 0.0157515 -0.00220435 -0.105531 0.0148666 0.0193448 -0.00213374 0.00218375 -0.0211527 0
0.09 -0.00177493 1.81766e-05 0.0017652 -0.00806215 -0.0216825 -0.0102875 -0.0497995 -0.00371638 -0.00777113 0.00189266 0.00513979 0.00541626 0.000155388 -0.111377 0.0196611 0.0193448 -0.00913887 -0.00151991 -0.0164422 0
0.1 0.0101609 3.79418e-06 0.00937646 0.00107858 -0.00781138 0.00717746 0.0251031 0.00225947 0.00750536 0.000766591 -0.000245523 -5.34226e-05 -0.000109745 -0.145954 0.0337038 0.0193448 0.0176776 -0.0166706 -0.0541472 0
0.11 0.0101609 1.14616e-07 -0.000664239 0.000826971 0.00258873 -0.00728544 0.0148333 0.00498919 -0.00306213 0.0127243 0.00225155 0.00026052 0.000246301 0.0418412 0.0719889 -0.000794859 0.000342089 0.0482907 -0.013514 0
0.12 0.0294717 0.00115882 -0.0024781 0.00169503 0.00070678 -0.00776276 0.0231817 -0.00333441 0.000569699 -0.000598094 -0.000692634 -0.00498122 0.00161558 0.00136591 -0.0236915 0.0254315 0.0151853 0.00757508 0.0592157 0
0.13 0.0195313 -0.00781456 0.00286921 0.00384612 2.87377e-05 -0.000703007 0.00523092 -0.000907011 0.00210709 -0.00237071 -0.000135889 0.00587302 0.00126253 0.0268916 0.00378437 0.0503631 -0.00212913 -0.0157114 -0.00274639 0
0.14 -0.0268828 -0.00894953 0.0019595 0.0045798 0.000637107 -0.00477334 0.00366223 0.0122726 0.0093428 -0.00516448 -0.00255189 0.00244746 -0.000216265 0.0143837 0.0111122 -0.0118529 -0.000785153 -0.037835 -0.0237461 0
0.15 0.00128914 -0.0157436 0.00512064 0.0260101 -1.76421e-05 -0.00433823 -0.00350055 0.000767954 -0.0037985 -0.00489628 -0.00417767 0.00375346 6.13741e-05 -0.00339695 -0.00960905 0.0026175 -0.00096013 0.00409248 0.00762099 0
0.16 0.000258787 -0.00819243 0.0005726 0.00279933 -0.000314834 -0.00398848 0.00340487 0.000640793 0.000102602 -0.00370614 -0.000407781 0.000369113 -0.000138703 0.000361983 0.00202983 0.002187 -2.80967e-05 -0.00315356 -0.00229551 0
0.17 3.22592e-06 -1.90241e-05 -4.3417e-05 0.0038526 5.41993e-07 5.49724e-06 -0.000478812 -3.18582e-05 0.00125772 5.50354e-06 1.46517e-06 -1.88961e-05 -3.30924e-06 -3.8713e-05 -0.000161101 -6.53929e-05 -6.226e-07 -0.000615462 -0.000464058 0
0.18 1.1865e-05 3.22791e-05 -6.06858e-05 -0.00154988 7.81703e-05 0.000168314 -0.000958451 8.18829e-06 0.000181651 0.000208959 0.000157485 5.96787e-05 5.39448e-05 5.75161e-05 -0.000147593 -0.000775192 0.000105878 -0.000218477 -0.00015792 0
0.19 -8.96822e-06 -3.56728e-05 -0.000115357 -0.00490387 1.19979e-05 -0.000100925 -0.000584891 -0.000289718 4.09865e-06 -0.000101646 -2.09416e-05 6.11327e-05 2.58333e-06 2.03718e-05 -0.000206396 -0.000592782 -3.02451e-05 -4.49691e-06 -6.04406e-05 0
0.2 4.32522e-05 0.00012648 -4.50144e-05 0.0047866 0.000271659 0.00015113 0.000195651 5.58071e-05 3.1437e-06 0.000194595 0.000120737 -0.000121012 -4.07378e-05 -7.42868e-06 0.000210231 -0.000961414 2.97239e-05 -1.49205e-07 0.000104577 0
